date,max_temp,min_temp
2021-08-01,24.8,11.4
2021-08-02,19.2,11.4
2021-08-03,20.2,9.6
2021-08-04,22.5,8.9
2021-08-05,21.8,9.4
2021-08-06,18.2,7.7
2021-08-07,19.2,6.2
2021-08-08,21.7,7.2
2021-08-09,16.5,5.3
2021-08-10,19.6,3.8
2021-08-11,23.5,6.6
2021-08-12,24.6,7.2
2021-08-13,25.4,8.3
2021-08-14,26.1,9.6
2022-08-01,25.9,9.1
2022-08-02,19.5,10.2
2022-08-03,21.9,6.3
2022-08-04,23.5,8.2
2022-08-05,16.6,9.3
2022-08-06,12.4,7.4
2022-08-07,20.4,8.2
2022-08-08,23.0,6.9
2022-08-09,25.0,6.7
2022-08-10,26.4,9.4
2022-08-11,23.6,10.8
2022-08-12,24.6,10.2
2022-08-13,24.0,8.4
2022-08-14,22.0,6.8
2023-08-01,24.8,9.7
2023-08-02,21.5,11.1
2023-08-03,16.6,8.6
2023-08-04,14.4,8.6
2023-08-05,17.9,7.0
2023-08-06,17.4,5.9
2023-08-07,14.5,5.8
2023-08-08,15.1,4.7
2023-08-09,18.1,4.8
2023-08-10,18.5,5.8
2023-08-11,20.1,7.4
2023-08-12,20.9,8.2
2023-08-13,18.7,4.9
2023-08-14,23.6,4.1
2024-08-01,25.0,7.1
2024-08-02,27.0,9.4
2024-08-03,28.1,12.9
2024-08-04,22.7,11.0
2024-08-05,25.3,9.1
2024-08-06,24.7,10.2
2024-08-07,21.8,7.8
2024-08-08,20.0,6.8
2024-08-09,20.7,5.2
2024-08-10,18.1,7.8
2024-08-11,20.6,5.6
2024-08-12,19.9,7.7
2024-08-13,17.0,7.1
2024-08-14,14.9,5.5
2025-08-01,21.1,9.0
2025-08-02,20.9,7.8
2025-08-03,20.2,5.6
2025-08-04,22.1,7.8
2025-08-05,19.7,6.4
2025-08-06,23.5,7.7
2025-08-07,20.0,9.2
2025-08-08,15.4,4.2
2025-08-09,17.5,3.2
2025-08-10,16.8,4.7
2025-08-11,20.5,6.6
2025-08-12,23.9,8.2
2025-08-13,23.1,9.1
2025-08-14,22.9,8.6
